yildiz,Kategori,oyuncular,yonetmen
9.1,Aksiyon ,"Bryce Dallas Howard, Oakes Fegley, Oona Laurence, Robert Redford",David Lowery
8.8,Aksiyon ,"Donnie Yen, Jet Li, Li Gong, Yifei Liu",Niki Caro
9.0,Dram ,"Aleksandr Samoylenko, Mariya Mironova, Pavel Derevyanko, Vladimir Vdovichenkov",Klim Shipenko
8.9,Bilim Kurgu ,"Dacre Montgomery, Ludi Lin, Naomi Scott, RJ Cyler",Dean Israelite
8.7,Dram ,"Douglas M. Griffin, James DuMont, Kurt Russell, Mark Wahlberg",Peter Berg
9.1,Bilim Kurgu ,"Abbie Cornish, Gary Oldman, Joel Kinnaman, Michael Keaton",José Padilha
9.5,Bilim Kurgu ,"Anthony Mackie, Dakota Goyo, Evangeline Lilly, Hugh Jackman",Shawn Levy
9.3,Dram ,"Ansel Elgort, Eiza González, Jon Bernthal, Jon Hamm",Edgar Wright
8.5,Dram ,"David Bourne, Louis Rocky Bacigalupo, Nathaniel Ansbach, Roland Brown",Sam Garcia Southern
9.0,Gerilim ,"Eric Roberts, Randy Orton, Steven Michael Quezada, Wes Studi",Roel Reiné
9.5,Bilim Kurgu ,"Ellen Page, Joseph Gordon-Levitt, Ken Watanabe, Leonardo DiCaprio",Christopher Nolan
9.2,Bilim Kurgu ,"Kris Kristofferson, N'Bushe Wright, Stephen Dorff, Wesley Snipes",Stephen Norrington
9.0,Dram ,"Chadwick Boseman, J.K. Simmons, Sienna Miller, Stephan James",Brian Kirk
8.6,Savaş ,"Jezibell Anat, Ronald Blanton, Sophie Adams, Wayne Blanton",Christopher Forbes
9.6,Dram ,"Brad Leland, Brian Presley, Henry Thomas, Treat Williams",Brian Presley
7.6,Yabancı ,"Columbus Short, Jaqueline Fleming, Robert Rusler, Scott Elrod",Wes Miller
7.3,Komedi ,"Faran Tahir, Molly Hagan, Pete Gardner, T.J. Storm",David Kronmiller
8.3,Dram ,"Lily Rabe, Max Martini, Omari Hardwick, Robert Patrick",Max Martini
8.0,Gerilim ,"Dan Gregory, David Paul, Dayveonne Bussey, Franklin Correa",Franklin Correa
8.7,Komedi ,"Jin-Hee Jang, Jun-seok Heo, Lee Hanee, Myeong Gong",Byeong-heon Lee
8.3,Dram ,"Ian Ignacio, Monsour Del Rosario, Rhian Ramos, Sarah Chang",Vincent Soberano
7.8,Yabancı ,"Fernando Carrera, Fernando Corral, Jerry Kwarteng, Maurice Nash",Harald Franklin
6.0,Gerilim ,"Bruce Dern, Gil Bellows, Kristen Renton, Lou Ferrigno Jr.",Thomas J. Churchill
5.3,Dram ,"David McCracken, Jenni Melear, Mike C. Nelson, Napoleon Ryan",David McCracken
7.9,Korku ,"Fred Williamson, Martin Kove, Stephen Lang, William Sadler",Joe Begos
9.7,Biyografi ,"Caitriona Balfe, Christian Bale, Jon Bernthal, Matt Damon",James Mangold
7.6,Yabancı ,"Bertrand-Xavier Corbi, Jermaine Love, Rory Markham, Will Yun Lee",Mike Gunther
7.4,Yabancı ,"James Russo, John Schneider, Tommy 'Tiny' Lister, Vida Guerra",Demetrius Navarro
5.1,Bilim Kurgu ,"Carmen Gangale, Michael Vitovich, Shelby Brunn, Stefanie Barber",Jason L. Wang
8.6,Bilim Kurgu ,"Agniya Ditkovskite, Deni Alasaniya, Lukerya Ilyashenko, Nikita Dyuvbanov",Andrey Volgin
8.9,Yabancı ,"Famke Janssen, Kevin Durand, LaMonica Garrett, Nicolas Cage",Nick Powell
7.3,Fantastik ,"Clark Sarullo, Dante Walker, Jason Vail, Kellie Carroll",Michael Babbitt
9.6,Animasyon ,"Craig T. Nelson, Holly Hunter, Huck Milner, Sarah Vowell",Brad Bird
9.4,Bilim Kurgu ,"Amy Adams, Ben Affleck, Henry Cavill, Jesse Eisenberg",Zack Snyder
7.5,Gerilim ,"Alyssa Kempinski, Aurelio Voltaire, Claire Hsu, Greg Cohan",Brendan Steere
8.9,Dram ,"Aleksandr Pal, Pyotr Fyodorov, Sergey Puskepalis, Vitaliy Khaev",Nikolay Khomeriki
9.5,Bilim Kurgu ,"Jake Gyllenhaal, Marisa Tomei, Samuel L. Jackson, Tom Holland",Jon Watts
8.9,Bilim Kurgu ,"Lynn Collins, Samantha Morton, Taylor Kitsch, Willem Dafoe",Andrew Stanton
7.8,Aksiyon ,"Donald Bowen, Dylan Arnold, Marleik Mar Mar Walker, Tate Birchmore",Michael Younesi
9.5,Bilim Kurgu ,"Don Cheadle, Guy Pearce, Gwyneth Paltrow, Robert Downey Jr.",Shane Black
8.5,Bilim Kurgu ,"Hailee Steinfeld, Jason Drucker, John Cena, Jorge Lendeborg Jr.",Travis Knight
7.6,Dram ,"Dante Basco, Dot-Marie Jones, Shannon Murray, Stephanie Erb",Bailey Kobe
8.4,Fantastik ,"Jason Flemyng, Liam Neeson, Ralph Fiennes, Sam Worthington",Louis Leterrier
5.6,Yabancı ,"John Capodice, Kristin Dattilo, Michael Saquella, Robert Costanzo",Jeffrey Nicholson
8.7,Komedi ,"Daniel Radcliffe, Natasha Liu Bordizzo, Rhys Darby, Samara Weaving",Jason Lei Howden
9.3,Gerilim ,"Ciarán Hinds, Hannah Ware, Rupert Friend, Zachary Quinto",Aleksander Bach
9.6,Bilim Kurgu ,"Charlize Theron, Nicholas Hoult, Tom Hardy, Zoë Kravitz",George Miller
9.6,Bilim Kurgu ,"Dylan O'Brien, Kaya Scodelario, Ki Hong Lee, Thomas Brodie-Sangster",Wes Ball
8.0,Yabancı ,"Len Kabasinski, Leo Fong, Lisa Neeld, Tim O'Hearn",Len Kabasinski
9.7,Aksiyon ,"Adam Pally, James Marsden, Jim Carrey, Neal McDonough, Tika Sumpter",Jeff Fowler
7.9,Gerilim ,"Brett Azar, Caroline Day, Jeff Kober, Matty Cardarople",Tony Glazer
7.7,Dram ,"Daniel Joseph, Michael Urie, Najarra Townsend, Scout Taylor-Compton",Prince Bagdasarian
6.9,Gerilim ,"Calhoun Koenig, Dennis Haskins, Kaiti Wallen, Tom Sizemore",Harley Wallen
7.8,Gerilim ,"Grant Bowler, Jamie Bamber, Micah Balfour, Nina Bergman",G.J. Echternkamp
9.4,Gerilim ,"Hyun Bin, Sang-ho Kim, Seong-Bong Ahn, Ye-jin Son",Jong-suk Lee
9.1,Biyografi ,"Ajay Devgn, Kajol, Rajesh Aher, Saif Ali Khan",Om Raut
8.3,Bilim Kurgu ,"Chicco Jerikho, Oka Antara, Rio Dewanto, Verdi Solaiman",Randy Korompis
